PropertySize,LivingArea,YearBuilt,Bedrooms,Price
882,9636,1593,1992,3,178000
883,6204,2230,1912,5,118500
884,7150,892,1967,3,100000
885,5119,1709,1999,2,328900
886,8393,1712,1959,4,145000
887,16466,1393,1955,3,135500
888,15865,2217,1970,4,268000
889,12160,1505,1953,2,149500
890,8064,924,1949,3,122900
891,11184,1683,1978,3,172500
892,8414,1068,1963,3,154500
893,13284,1383,1954,3,165000
894,7018,1535,1979,4,118858
895,7056,1796,1963,4,140000
896,8765,951,1936,2,106500
897,7018,2240,1979,6,142953
898,12919,2364,2009,2,611657
899,6993,1236,1961,3,135000
900,7340,858,1971,2,110000
901,8712,1306,1957,2,153000
902,7875,1509,2003,3,180000
903,14859,1670,2006,3,240000
904,6173,902,1967,3,125500
905,9920,1063,1954,3,128000
906,13501,1636,2006,3,255000
907,11500,2057,1936,3,250000
908,8885,902,1983,2,131000
909,12589,1484,2005,3,174000
910,11600,2274,1960,5,154300
911,9286,1268,1977,3,143500
912,6120,1015,1925,3,88000
913,6270,2002,1949,4,145000
914,3000,1224,2009,2,173733
915,2001,1092,1970,3,75000
916,9000,480,1949,1,35311
917,17140,1229,1956,3,135000
918,13125,2127,1991,4,238000
919,11029,1414,1958,3,176500
920,8462,1721,1994,3,201000
921,8777,2200,1900,4,145900
922,10237,1316,2005,3,169990
923,8012,1617,1993,2,193000
924,10240,1686,1980,3,207500
925,15611,1126,1977,3,175000
926,11999,2374,2003,4,285000
927,9900,1978,1968,4,176000
928,11838,1788,2001,3,236500
929,13006,2236,1997,4,222000
930,8925,1466,2007,3,201000
931,9100,925,1965,2,117500
932,11670,1905,2006,3,320000
933,8487,1500,2004,3,190000
934,27650,2069,1960,4,242000
935,5825,747,1926,1,79900
936,10083,1200,2003,2,184900
937,9675,1971,2005,3,253000
938,8760,1962,2006,3,239799
939,24090,2403,1940,4,244400
940,12640,1728,1976,4,150900
941,8755,2060,1999,3,214000
942,7711,1440,1977,4,150000
943,25000,1632,1967,4,143000
944,14375,1344,1958,3,137500
945,8820,1869,1890,2,124900
946,8163,1144,1959,3,143000
947,14536,1629,2002,3,270000
948,14006,1776,2002,3,192500
949,9360,1381,1972,3,197500
950,7200,864,1950,3,129000
951,7800,965,1965,3,119900
952,7200,768,1972,2,133900
953,11075,1968,1969,4,172000
954,9400,980,1975,4,127500
955,7136,1958,1946,4,145000
956,1300,1229,1980,2,124000
957,7420,1057,1962,3,132000
958,8450,1337,2003,3,185000
959,2572,1416,1999,3,155000
960,7207,858,1958,2,116500
961,12227,2872,1977,4,272000
962,2308,1548,1976,3,155000
963,11923,1800,2007,2,239000
964,11316,1894,2002,4,214900
965,10237,1484,2005,3,178900
966,9600,1308,1940,2,160000
967,7390,1098,1955,3,135000
968,5925,968,1910,2,37900
969,10382,1095,1958,2,140000
970,10800,1192,1949,4,135000
971,2268,1626,2003,2,173000
972,7892,918,1979,2,99500
973,11639,1428,2007,3,182000
974,11414,2019,1910,3,167500
975,2651,1382,2000,3,165000
976,5900,869,1923,2,85500
977,4274,1241,2006,1,199900
978,9450,894,1954,3,110000
979,8816,1121,1963,3,139000
980,12122,999,1961,3,178400
981,12203,2612,1998,4,336000
982,3182,1266,2007,2,159895
983,11250,2290,2002,4,255900
984,10125,1734,1977,4,126000
985,10880,1164,1950,3,125000
986,5310,1635,1910,2,117000
987,10159,1940,2009,3,395192
988,12046,2030,1976,4,195000
989,8125,1576,2006,3,197000
990,9452,2392,1997,3,348000
991,17671,1742,1882,4,168000
992,9760,1851,1964,3,187000
993,8846,1500,2005,3,173900
994,12456,1718,2006,3,337500
995,4712,1230,1946,3,121600
996,10659,1050,1961,3,136500
997,11717,1442,1970,2,185000
998,9786,1077,1922,3,91000
999,6762,1208,2006,2,206000
1000,10206,944,1952,2,82000
1001,5400,691,1920,2,86000
1002,11957,1574,2006,3,232000
1003,11500,1680,1976,4,136905
1004,3182,1504,2005,1,181000
1005,8385,985,1977,3,149900
1006,12155,1657,1970,3,163500
1007,2217,1092,1970,3,88000
1008,12118,1710,2004,3,240000
1009,6000,1522,1926,4,102000
1010,21286,1271,1948,4,135000
1011,9825,1664,1965,4,100000
1012,10592,1502,1923,3,165000
1013,7200,1022,1910,2,85000
1014,11664,1082,1948,2,119200
1015,8400,1665,2001,3,227000
1016,11883,1504,1996,3,203000
1017,5814,1360,1984,1,187500
1018,10784,1472,1991,3,160000
1019,3013,1506,2005,2,213490
1020,7024,1132,2005,2,176000
1021,7406,1220,2006,2,194000
1022,9439,1248,1930,2,87000
1023,3182,1504,2005,2,191000
1024,15498,2898,1976,2,287000
1025,7700,882,1972,3,112500
1026,9300,1264,1960,3,167500
1027,9520,1646,2007,3,293077
1028,9492,1376,1941,3,105000
1029,1680,1218,1972,3,118000
1030,7082,1928,1916,5,160000
1031,15863,3082,1920,5,197000
1032,14541,2520,1993,5,310000
1033,8125,1654,2002,3,230000
1034,6305,954,1938,2,119750
1035,11500,845,1957,3,84000
1036,12898,1620,2007,2,315500
1037,9240,2263,2001,3,287000
1038,1533,1344,1970,3,97000
1039,1477,630,1970,1,80000
1040,13125,1803,1957,3,155000
1041,9130,1632,1966,4,173000
1042,5381,1306,2005,1,196000
1043,11839,2329,1990,4,262280
1044,9600,2524,1981,4,278000
1045,13680,1733,1955,4,139600
1046,16056,2868,2005,4,556581
1047,9245,990,1994,3,145000
1048,21750,1771,1960,3,115000
1049,11100,930,1946,2,84900
1050,8993,1302,2007,3,176485
1051,11175,1316,2007,3,200141
1052,9500,1977,1964,4,165000
1053,8562,1526,1957,4,144500
1054,11367,1989,2002,3,255000
1055,11361,1523,1976,3,180000
1056,7052,1364,2005,2,185850
1057,29959,1850,1994,3,248000
1058,11308,2184,2008,3,335000
1059,11275,1991,1932,3,220000
1060,4920,1338,2001,2,213500
1061,18000,894,1935,2,81000
1062,13600,2337,1900,5,90000
1063,6000,1103,1925,2,110500
1064,11000,1154,1966,3,154000
1065,14000,2260,1996,3,328000
1066,7837,1571,1993,3,178000
1067,9760,1611,1964,4,167900
1068,3964,2521,1973,5,151400
1069,9600,893,1949,2,135000
1070,10152,1048,1956,3,135000
1071,11700,1556,1968,4,154000
1072,7585,1456,1948,4,91500
1073,7950,1426,1977,3,159500
1074,8556,1240,2006,2,194000
1075,13125,1740,1940,3,219500
1076,10800,1466,1936,3,170000
1077,15870,1096,1969,3,138800
1078,4435,848,2004,1,155900
1079,8775,990,1994,3,126000
1080,11040,1258,1971,3,145000
1081,7500,1040,1963,3,133000
1082,8749,1459,2002,3,192000
1083,8800,1251,1964,3,160000
1084,13031,1498,1995,3,187500
1085,9069,996,1992,2,147000
1086,1974,1092,1973,3,83500
1087,10574,1953,2005,3,252000
1088,2522,1709,2004,3,137500
1089,3316,1247,2005,1,197000
1090,8544,1040,1950,2,92900
1091,2160,1252,1999,2,160000
1092,8400,1694,1925,4,136500
1093,9230,1200,1965,1,146000
1094,5868,936,1956,2,129000
1095,9317,1314,2006,3,176432
1096,6882,1355,1914,3,127000
1097,3696,1088,1986,2,170000
1098,6000,1324,1936,3,128000
1099,11880,1601,1978,3,157000
1100,8400,438,1920,1,60000
1101,9758,950,1971,3,119500
1102,7000,1134,1960,2,135000
1103,8910,1194,1959,3,159500
1104,2016,1302,1970,3,106000
1105,12256,2622,1994,3,325000
1106,10357,1442,1990,3,179900
1107,23257,2021,2006,3,274725
1108,8063,1690,2000,3,181000
1109,11362,1836,2004,3,280000
1110,8000,1658,1995,3,188000
1111,10480,1964,1976,4,205000
1112,7100,816,1957,2,129900
1113,8923,1008,1953,2,134500
1114,5400,833,1954,2,117000
1115,12085,1734,2007,3,318000
1116,7750,1419,2002,3,184100
1117,9764,894,1967,3,130000
1118,13825,1601,1958,3,140000
1119,7560,1040,1959,3,133700
1120,8263,1012,1920,2,118400
1121,10084,1552,2005,3,212900
1122,8926,960,1956,3,112000
1123,9405,698,1947,2,118000
1124,9125,1482,1992,3,163900
1125,10434,1005,1955,2,115000
1126,3684,1555,2007,2,174000
1127,14572,1530,2004,3,259000
1128,11796,1959,2004,4,215000
1129,7200,936,1980,2,140000
1130,7804,1981,1928,4,135000
1131,10712,974,1991,3,93500
1132,9900,2210,1880,5,117500
1133,9828,2020,1995,3,239500
1134,8773,1600,1997,3,169000
1135,6180,986,1926,2,102000
1136,9600,1252,1950,3,119000
1137,6342,1020,1875,2,94000
1138,9819,1567,1977,2,196000
1139,8731,1167,1920,3,144000
1140,7350,952,1951,2,139000
1141,10304,1868,1976,4,197500
1142,9965,2828,2006,4,424870
1143,9000,1006,1959,3,80000
1144,12180,924,1941,2,80000
1145,6240,1576,1928,3,149000
1146,11200,1298,1985,3,180000
1147,12000,1564,1941,3,174500
1148,5700,1111,1926,2,116900
1149,9000,1482,1920,3,143000
1150,8280,932,1950,2,124000
1151,17755,1466,1959,3,149900
1152,14115,1811,1956,2,230000
1153,5890,816,1930,2,120500
1154,13700,1820,1965,4,201800
1155,10768,1437,1976,3,218000
1156,9350,1265,1965,3,179900
1157,5001,1314,2007,2,230000
1158,11932,1580,2007,3,235128
1159,9120,1876,1974,4,185000
1160,2280,1456,1978,3,146000
1161,14778,1640,1954,3,224000
1162,8724,894,1968,3,129000
1164,16157,1432,1978,2,194000
1165,9541,1502,2009,3,233170
1166,10475,1694,2008,3,245350
1167,10852,1671,2000,3,173000
1168,13728,2108,1935,4,235000
1169,35760,3627,1995,4,625000
1170,9880,1118,1977,3,171000
1171,9120,1261,1958,3,163000
1172,4017,1250,2006,2,171900
1173,18030,3086,1946,3,200500
1174,16560,2345,1932,4,239000
1175,10678,2872,1992,4,285000
1176,6951,923,1984,3,119500
1177,3950,1224,1926,3,115000
1178,7681,1343,1921,3,154900
1179,8335,1124,1954,3,93000
1180,11170,2514,1990,4,250000
1181,5587,1652,2008,2,392500
1182,15623,4476,1996,4,745000
1183,10800,1130,1920,2,120000
1184,35133,1572,1963,3,186700
1185,9738,1221,1924,4,104900
1186,10615,1699,1900,3,95000
1187,12461,1624,1994,2,262000
1188,8935,1660,2002,3,195000
1189,7500,1804,1999,3,189000
1190,32463,1622,1961,3,168000
1191,2645,1441,1999,2,174000
1192,9600,1472,1925,3,125000
1193,4500,1224,1999,2,165000
1194,9364,1352,1969,4,158000
1195,8029,1456,2005,3,176000
1196,14054,1863,2006,4,219210
1197,8850,1690,1916,3,144000
1198,9100,1212,2001,3,178000
1199,11235,1382,1963,3,148000
1200,9353,864,1970,3,116050
1201,10400,1779,1998,3,197900
1202,6000,1348,1925,3,117000
1203,9750,1630,2000,3,213000
1204,10140,1074,1975,3,153500
1205,14684,2196,1990,3,271900
1206,8900,1056,1966,2,107000
1207,9135,1700,2003,3,200000
1208,7763,1283,1962,3,140000
1209,10182,1660,2006,3,290000
1210,11218,1845,1992,3,189000
1211,12134,1752,1988,4,164000
1212,9340,672,1941,2,113000
1214,10205,999,1962,3,134500
1215,7094,894,1966,3,125000
1216,8930,1902,1978,4,112000
1217,8640,1314,2009,3,229456
1218,6240,912,1947,2,80500
1219,1680,1218,1971,3,91500
1220,7800,912,1964,2,115000
1221,8250,1211,1968,3,134000
1222,10496,1846,1949,3,143000
1223,10680,2136,1951,4,137900
1224,15384,1490,2004,3,184000
1225,10482,1138,1958,3,145000
1226,14598,1933,2007,4,214000
1227,8872,912,1965,2,147000
1228,8769,1702,2008,1,367294
1229,7910,1507,1960,4,127000
1230,18890,2620,1977,4,190000
1231,7728,1190,1962,3,132500
1232,9842,1224,1962,2,101800
1233,12160,1188,1959,3,142000
1234,8525,1964,1911,4,130000
1235,13132,1784,1914,4,138887
1236,2628,1626,2003,2,175500
1237,12393,1948,2004,4,195000
1238,13072,1141,2005,3,142500
1239,9037,1484,2006,2,265900
1240,8158,1768,2003,3,224900
1241,9849,1689,2007,3,248328
1242,10625,1173,1974,3,170000
1243,13891,2076,2006,2,465000
1244,11435,1517,1929,3,230000
1245,12090,1868,1984,3,178000
1246,8125,1553,2005,3,186500
1247,12328,1034,1976,3,169900
1248,9600,2058,1917,3,129500
1249,7200,988,1950,3,119000
1250,11160,2110,1968,3,244000
1251,3136,1405,2003,2,171750
1252,9858,874,1968,3,130000
1253,17542,2167,1974,3,294000
1254,6931,1656,2003,3,165400
1255,6240,1367,1931,3,127500
1256,14303,1987,1994,2,301500
1257,4060,864,1922,2,99900
1258,9587,1166,2005,2,190000
1259,9750,1054,1969,3,151000
1260,24682,1675,1999,3,181000
1261,9600,1050,1956,2,128900
1262,11250,1788,1957,5,161500
1263,13515,1824,1919,3,180500
1264,4060,1337,1998,2,181000
1265,3735,1452,1999,3,183900
1266,10120,1889,1910,4,122000
1267,13214,2018,2008,3,378500
1268,14100,3447,1935,4,381000
1269,11344,1524,1958,3,144000
1271,9156,1489,1968,3,185750
1272,13526,935,1965,3,137000
1273,11512,1357,1959,2,177000
1274,5362,1250,1910,3,139000
1275,11345,1920,1948,4,137000
1276,12936,1395,1972,3,162000
1277,17871,1724,1967,3,197900
1278,9473,2031,2002,3,237000
1279,7500,1128,1920,2,68400
1280,9808,1573,2002,3,227000
1281,8049,1339,1990,2,180000
1282,8800,1040,1977,3,150500
1283,9400,1824,1971,4,139000
1284,9638,2447,1919,4,169000
1285,6000,1412,1939,4,132500
1286,9790,1328,1963,3,143000
1287,36500,1582,1964,4,190000
1288,5664,1659,2000,2,278000
1289,11065,1970,2006,3,281000
1290,14112,1152,1964,3,180500
1291,1680,1302,1972,3,119500
1292,6600,2372,1892,4,107500
1293,10140,1664,1976,4,162900
1294,8172,864,1955,2,115000
1295,8400,1052,1968,3,138500
1296,8700,1128,1963,3,155000
1297,3675,1072,2005,2,140000
1298,63887,5642,2008,3,160000
1299,7500,1246,1959,3,154000
1300,10762,1983,1999,3,225000
1301,7500,1494,1942,3,177500
1302,10120,2526,1994,4,290000
1303,8688,1616,2005,3,232000
1304,3363,1708,2004,3,130000
1305,13173,1652,2006,2,325000
1306,6955,1368,2005,2,202500
1307,8072,990,1994,3,138000
1308,12000,1122,1948,2,147000
1309,7153,1294,1991,3,179200
1310,17500,1902,1959,3,335000
1311,8814,1274,2005,3,203000
1312,9572,2810,1990,4,302000
1313,14774,2599,1999,4,333168
1314,8190,948,1954,3,119000
1315,11075,2112,1969,4,206900
1316,10226,1630,2008,3,295493
1317,4230,1352,2006,2,208900
1318,14781,1787,2001,3,275000
1319,10215,948,1954,3,111000
1320,8400,1478,1957,3,156500
1321,6627,720,1949,2,72500
1322,10186,1923,1992,3,190000
1323,5330,708,1940,2,82500
1324,9986,1795,2006,2,147000
1325,3636,796,1922,2,55000
1326,4270,774,1931,3,79000
1327,6600,816,1982,3,130500
1328,10440,2792,1920,5,256000
1329,9084,1632,1998,3,176500
1330,10000,1588,2006,3,227000
1331,10780,954,1976,3,132500
1332,8877,816,1938,2,100000
1333,7200,1360,1938,2,125500
1334,2368,1365,1970,3,125000
1335,9650,1334,1977,2,167900
1336,9246,1656,1973,4,135000
1337,4118,693,1941,2,52500
1338,13450,1861,2002,3,200000
1339,9560,864,1972,3,128500
1340,8294,872,1971,3,123000
1341,13695,1114,2003,3,155000
1342,9375,2169,2002,3,228500
1343,7558,1913,1928,3,177000
1344,11103,1456,2006,3,155835
1345,6000,960,1920,2,108500
1346,20781,2156,1968,3,262500
1347,15306,1776,2006,3,283463
1348,16196,1494,1998,3,215000
1349,5250,2358,1872,4,122000
1350,11643,2634,1969,6,200000
1351,9247,1716,1962,4,171000
1352,6000,1176,1937,2,134900
1353,14720,3238,1995,4,410000
1354,10316,1865,2000,3,235000
1355,10192,1920,1968,4,170000
1356,9477,892,1966,3,110000
1357,12537,1078,1971,3,149900
1358,2117,1573,2000,3,177500
1359,16737,1980,2004,3,315000
1360,9842,2601,1921,4,189000
1361,16158,1530,2005,3,260000
1362,12513,1738,1920,4,104900
1363,8499,1412,2006,3,156932
1364,3180,1200,2005,2,144152
1365,7500,1674,2000,3,216000
1366,9179,1790,1999,3,193000
1367,2665,1475,1977,4,127000
1368,4435,848,2003,1,144000
1369,10635,1668,2003,3,232000
1370,5400,1374,1920,2,105000
1371,9600,1661,1955,3,165500
1372,9750,2097,1998,3,274300
1373,11400,2633,2001,2,466500
1374,10625,1958,2005,3,250000
1375,10991,1571,2007,3,239000
1376,6292,790,1930,2,91000
1377,10998,1604,1941,3,117000
1378,1953,987,1973,2,83000
1379,9735,1394,2006,3,167500
1380,8212,864,1914,2,58500
1381,12925,2117,1970,4,237500
1382,7200,1762,1920,4,157000
1383,25339,1416,1918,3,112000
1384,9060,1258,1939,2,105000
1385,5436,1154,1922,3,125500
1386,16692,2784,1978,5,250000
1387,8520,2526,1916,5,136000
1388,14892,1746,2006,3,377500
1389,6000,1218,1941,3,131000
1390,9100,1525,2000,3,235000
1391,8944,1584,1967,4,124000
1392,7838,900,1967,3,123000
1393,10800,1912,1905,3,163000
1394,4045,1500,2006,2,246578
1395,12665,2482,2005,4,281213
1396,57200,1687,1948,3,160000
1397,6120,1513,1920,4,137500
1398,7200,1904,1950,3,138000
1399,6171,1608,1925,3,137450
1400,6000,1158,1929,3,120000
1401,7415,1593,2004,3,193000
1402,6762,1294,2006,2,193879
1403,15256,1464,2007,3,282922
1404,10410,1214,1915,3,105000
1405,3842,1646,2004,2,275000
1406,8445,768,1972,2,133000
1407,8780,833,1985,3,112000
1408,7740,1363,1910,3,125500
1409,20544,2093,1986,3,215000
1410,12420,1840,2001,3,230000
1411,9600,1668,1950,3,140000
1412,7200,1040,1949,2,90000
1413,10994,1844,2005,2,257000
1414,13053,1848,1923,4,207000
1415,3635,1569,2007,1,175900
1416,11340,2290,1885,4,122500
1417,16545,2450,1998,3,340000
1418,9204,1144,1963,3,124000
1419,16381,1844,1969,3,223000
1420,11700,1416,1968,3,179900
1421,4043,1069,1977,2,127500
1422,4435,848,2003,1,136500
1423,19690,2201,1966,4,274970
1424,9503,1344,1958,2,144000
1425,10721,1252,1959,3,142000
1426,10944,2127,1994,3,271000
1427,10930,1558,1945,3,140000
1428,7200,804,1940,2,119000
1429,12546,1440,1981,3,182900
1430,21930,1838,2005,4,192140
1431,4928,958,1976,2,143750
1432,10800,968,1927,4,64500
1433,10261,1792,2000,3,186500
1434,17400,1126,1977,3,160000
1435,8400,1537,1962,3,174000
1436,9000,864,1971,3,120500
1437,12444,1932,2008,2,394617
1438,7407,1236,1957,2,149700
1439,11584,1725,1979,3,197000
1440,11526,2555,1922,3,191000
1441,4426,848,2004,1,149300
1442,11003,2007,2008,3,310000
1443,8854,952,1916,2,121000
1444,8500,1422,2004,3,179600
1445,8400,913,1966,3,129000
1446,26142,1188,1962,3,157900
1447,10000,2090,1995,3,240000
1448,11767,1346,1910,2,112000
1449,1533,630,1970,1,92000
1450,9000,1792,1974,4,136000
1451,9262,1578,2008,3,287090
1452,3675,1072,2005,2,145000
1453,17217,1140,2006,3,84500
1454,7500,1221,2004,2,185000
1455,7917,1647,1999,3,175000
1456,13175,2073,1978,3,210000
1457,9042,2340,1941,4,266500
1458,9717,1078,1950,2,142125
1459,9937,1256,1965,3,147500
